procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1  86128 63783316   4000 867436    0    0    43   126    0    0  0  0 99  0  0
 1  0  86128 63771544   4000 870484    0    0  5384  2438 1230  463  2  0 98  0  0
 1  0  86128 63771544   4000 870528    0    0     0     0 1141   94  2  0 98  0  0
 1  0  86128 63771568   4000 870620    0    0     0    28 1149  108  2  0 98  0  0
 1  0  86128 63771568   4000 870620    0    0    24     0 1280  231  2  0 98  0  0
 1  0  86128 63772040   4000 870644    0    0     0     0 1118   57  2  0 98  0  0
 1  0  86128 63772040   4000 870644    0    0     0     0 1229  174  2  0 98  0  0
 0  1  86128 63773288   4000 871104    0    0  1044     0  819  349  1  0 98  1  0
 0  1  86128 63772792   4000 871104    0    0  1672     0  614  584  0  0 98  2  0
 0  1  86128 63771800   4000 871104    0    0  1764     8  609  533  0  0 98  2  0
 1  1  86128 63770932   4000 871104    0    0  1640     0  487  456  0  0 98  2  0
 1  1  86128 63770436   4000 871104    0    0  1720     0  534  465  0  0 98  2  0
 1  1  86128 63769428   4000 871104    0    0  1700     0  961  616  1  0 97  2  0
 1  1  86128 63768932   4000 871104    0    0  1712     0 1600  564  2  0 96  2  0
 1  1  86128 63767940   4000 871104    0    0  1688     4 1489  504  2  0 96  2  0
 1  1  86128 63767444   4000 871104    0    0  1836     0 1546  506  2  0 96  2  0
 1  1  86128 63766452   4000 871104    0    0  1612     0 1533  550  2  0 96  2  0
 1  1  86128 63765956   4000 871104    0    0  1632     0 1502  450  2  0 96  2  0
 1  1  86128 63764964   4000 871104    0    0  1684     0 1464  466  2  0 96  2  0
 1  1  86128 63764468   4000 871104    0    0  1792     0 1572  522  2  0 96  2  0
 1  1  86128 63763972   4000 871104    0    0  1792     4 1587  596  2  0 96  2  0
 1  1  86128 63762980   4000 871104    0    0  1928     0 1587  555  2  0 96  2  0
 1  1  86128 63762484   4000 871104    0    0  1840     0 1511  512  2  0 96  2  0
 1  1  86128 63761492   4000 871104    0    0  1656   253 1563  528  2  0 96  2  0
 1  1  86128 63760996   4000 871104    0    0  1652    16 1557  578  2  0 96  2  0
 1  1  86128 63760500   4000 871104    0    0  1792     0 1535  498  2  0 96  2  0
 1  1  86128 63759508   4000 871104    0    0  1932     4 1513  508  2  0 96  2  0
 1  1  86128 63759012   4000 871104    0    0  1928     0 1573  540  2  0 96  2  0
 1  1  86128 63758516   4000 871104    0    0  1932     0 1609  624  2  0 96  2  0
 1  1  86128 63757524   4000 871104    0    0  1996     0 1590  536  2  0 96  2  0
 1  1  86128 63757028   4000 871104    0    0  1896     0 1508  520  2  0 96  2  0
 1  1  86128 63755600   4000 871104    0    0  1900     0 1722  607  2  0 96  2  0
 1  1  86128 63755104   4000 871104    0    0  1856     8 1588  606  2  0 96  2  0
 1  1  86128 63753108   4000 871104    0    0  1736     0 1641  541  2  0 96  2  0
 1  1  86128 63752116   4000 871104    0    0  1872     0 1484  508  2  0 96  2  0
 1  1  86128 63751620   4000 871104    0    0  2012     0 1603  558  2  0 96  2  0
 1  1  86128 63750628   4000 871104    0    0  1756     0 1628  736  2  0 96  2  0
 1  1  86128 63749200   4000 870992    0    0  2040     0 1841  814  2  0 96  2  0
 2  1  86128 63748316   4000 870996    0    0  1996     4 1530  552  2  0 96  2  0
 1  1  86128 63747820   4000 870996    0    0  1948     0 1554  514  2  0 96  2  0
 1  1  86128 63746828   4000 870996    0    0  1776     0 1573  580  2  0 96  2  0
 1  1  86128 63746332   4000 870996    0    0  1924     0 1564  534  2  0 96  2  0
 1  1  86128 63745836   4000 870996    0    0  2160     0 1565  588  2  0 96  2  0
 1  1  86128 63744844   4000 870996    0    0  1984     4 1572  548  2  0 96  2  0
 1  1  86128 63744348   4000 870996    0    0  1848     0 1601  608  2  0 96  2  0
 1  1  86128 63743852   4000 870996    0    0  1812     0 1566  486  2  0 96  2  0
 1  1  86128 63742860   4000 870996    0    0  1944     0 1507  508  2  0 96  2  0
 1  1  86128 63742364   4000 870996    0    0  1760     0 1506  474  2  0 96  2  0
 1  1  86128 63741868   4000 870996    0    0  1780     0 1571  580  2  0 96  2  0
 1  1  86128 63740876   4000 870996    0    0  1876    12 1637  664  2  0 96  2  0
 1  1  86128 63740380   4000 870996    0    0  1912     0 1541  546  2  0 96  2  0
 1  1  86128 63739388   4000 870996    0    0  1920     0 1547  506  2  0 96  2  0
 1  1  86128 63738892   4000 870996    0    0  2208     0 1740  846  2  0 96  2  0
 1  1  86128 63738396   4000 870996    0    0  1888     0 1573  552  2  0 96  2  0
 1  1  86128 63737396   4000 870996    0    0  1596   427 1519  526  2  0 96  2  0
 1  1  86128 63736900   4000 870996    0    0  1784     4 1510  482  2  0 96  2  0
 1  1  86128 63736404   4000 870996    0    0  1968     0 1656  688  2  0 96  2  0
 1  1  86128 63735908   4000 870996    0    0  1900     0 1621  646  2  0 96  2  0
 1  1  86128 63733612   4000 870996    0    0  2132     0 1693  870  2  0 96  2  0
 1  1  86128 63733116   4000 870996    0    0  1964     0 1612  598  2  0 96  2  0
 1  1  86128 63732612   4000 870996    0    0  2040     0 1633  662  2  0 96  2  0
 1  1  86128 63731620   4000 870996    0    0  2140     4 1642  672  2  0 96  2  0
 1  1  86128 63731124   4000 870996    0    0  1916     0 1522  544  2  0 96  2  0
 1  1  86128 63730132   4000 870996    0    0  1928     0 1548  516  2  0 96  2  0
 1  1  86128 63729636   4000 870996    0    0  1852     0 1588  624  2  0 96  2  0
 1  1  86128 63729140   4000 870996    0    0  1928     0 1560  516  2  0 96  2  0
 1  1  86128 63728644   4000 870996    0    0  2204     0 1572  600  2  0 96  2  0
 1  1  86128 63727652   4000 870996    0    0  2008     8 1596  566  2  0 96  2  0
 1  1  86128 63727132   4000 870996    0    0  1992     0 1718  838  2  0 96  2  0
 1  1  86128 63726636   4000 870996    0    0  2276     0 1683  662  2  0 96  2  0
 1  1  86128 63726140   4000 870996    0    0  2380     0 1632  680  2  0 96  2  0
 1  1  86128 63725644   4000 870996    0    0  2064     0 1590  558  2  0 96  2  0
 1  1  86128 63725148   4000 870996    0    0  2164     0 1684  722  2  0 96  2  0
 1  1  86128 63724156   4000 870996    0    0  2324     4 1672  636  2  0 96  2  0
 1  1  86128 63723660   4000 870996    0    0  2328     0 1627  662  2  0 96  2  0
 1  1  86128 63723164   4000 870996    0    0  2148     0 1639  644  2  0 96  2  0
 1  1  86128 63722156   4000 870996    0    0  2232     0 1697  740  2  0 96  2  0
 1  1  86128 63721660   4000 870996    0    0  2028     0 1596  568  2  0 96  2  0
 1  1  86128 63721148   4000 870996    0    0  2192     0 1614  642  2  0 96  2  0
 1  1  86128 63720652   4000 870996    0    0  1832     8 1583  566  2  0 96  2  0
 1  1  86128 63720156   4000 870996    0    0  2052     0 1635  654  2  0 96  2  0
 1  1  86128 63719164   4000 870996    0    0  2160     0 1625  600  2  0 96  2  0
 1  1  86128 63718668   4000 870996    0    0  2020     0 1539  552  2  0 96  2  0
 1  1  86128 63718172   4000 870996    0    0  2212     0 1642  660  2  0 96  2  0
 1  1  86128 63717676   4000 870996    0    0  1692   300 1585  604  2  0 96  2  0
 1  1  86128 63717180   4000 870996    0    0  2096     4 1625  606  2  0 96  2  0
 1  1  86128 63718428   4000 870996    0    0  2304     0 1673  694  2  0 96  2  0
 1  1  86128 63717436   4000 870996    0    0  1944     0 1570  526  2  0 96  2  0
 1  1  86128 63716992   4000 870996    0    0  2160     0 1723  730  2  0 96  2  0
 1  1  86128 63718240   4000 870996    0    0  2008    38 1992  872  2  0 96  2  0
 1  1  86128 63717744   4000 870996    0    0  2060     0 1551  574  2  0 96  2  0
 1  1  86128 63717248   4000 870996    0    0  2024    48 1600  578  2  0 96  2  0
 1  1  86128 63716752   4000 870996    0    0  2036     0 1629  664  2  0 96  2  0
 1  1  86128 63715760   4000 870996    0    0  2220     0 1632  624  2  0 96  2  0
 1  1  86128 63715256   4000 870996    0    0  2000     0 1537  574  2  0 96  2  0
 1  1  86128 63714760   4000 870996    0    0  2392     0 1686  684  2  0 96  2  0
 1  1  86128 63714264   4000 870996    0    0  2112     0 1634  652  2  0 96  2  0
 1  1  86128 63713768   4000 870996    0    0  2028     8 1599  606  2  0 96  2  0
 1  1  86128 63713272   4000 870996    0    0  2048     0 1543  568  2  0 96  2  0
 1  1  86128 63712776   4000 870996    0    0  2036     0 1620  588  2  0 96  2  0
 1  1  86128 63712280   4000 870996    0    0  1976     0 1613  650  2  0 96  2  0
 1  1  86128 63711784   4000 870996    0    0  2156     0 1619  618  2  0 96  2  0
 1  1  86128 63711288   4000 870996    0    0  1888     8 1502  528  2  0 96  2  0
 1  1  86128 63710792   4000 870996    0    0  2288     0 1657  657  2  0 96  2  0
 1  1  86128 63710296   4000 870996    0    0  2528     0 1759  806  2  0 96  2  0
 1  1  86128 63709800   4000 870996    0    0  2252     0 1665  666  2  0 96  2  0
 1  1  86128 63709304   4000 870996    0    0  1980     0 1520  550  2  0 96  2  0
 1  1  86128 63708312   4000 870996    0    0  2216     4 1631  592  2  0 96  2  0
 1  1  86128 63707816   4000 870996    0    0  2048     0 1640  688  2  0 96  2  0
 1  1  86128 63707320   4000 870996    0    0  2236     0 1676  638  2  0 96  2  0
 1  1  86128 63706824   4000 870996    0    0  2228     0 1603  624  2  0 96  2  0
 1  1  86128 63706328   4000 870996    0    0  2036     0 1598  568  2  0 96  2  0
 1  1  86128 63705832   4000 870996    0    0  2232     0 1672  724  2  0 96  2  0
 1  1  86128 63705336   4000 870996    0    0  2048     8 1597  574  2  0 96  2  0
 1  1  86128 63704840   4000 870996    0    0  1956   310 1599  624  2  0 96  2  0
 1  1  86128 63704344   4000 870996    0    0  2072     0 1602  570  2  0 96  2  0
 1  1  86128 63703848   4000 870996    0    0  2388     0 1736  778  2  0 96  2  0
 1  1  86128 63703352   4000 870996    0    0  2156     0 1626  616  2  0 96  2  0
 1  1  86128 63702856   4000 870996    0    0  2148     0 1585  612  2  0 96  2  0
 1  1  86128 63702360   4000 870996    0    0  2212     8 1660  672  2  0 96  2  0
 1  1  86128 63701856   4000 870996    0    0  2100     0 1677  736  2  0 96  2  0
 1  1  86128 63701360   4000 870996    0    0  2148     0 1606  578  2  0 96  2  0
 1  1  86128 63699356   4000 870996    0    0  2060     0 1744  717  2  0 96  2  0
 1  1  86128 63698860   4000 870996    0    0  2388     0 1680  670  2  0 96  2  0
 1  1  86124 63693256   4000 872804    0    0  4632     0 5519 1706  2  1 95  2  0
 1  2  86124 63686028   4000 880340    0    0  7784    24 4934 1424  2  0 95  3  0
 2  2  86124 63681140   4000 885268    0    0  5888     0 4517 1353  2  0 95  3  0
 1  2  86124 63675652   4000 891500    0    0  6984     0 5515 1507  2  0 95  3  0
 1  1  86124 63666780   4000 900704    0    0  9548     0 6579 1548  2  0 95  3  0
 1  1  86120 63664408   4000 903968    0    0  5488     0 4285 1399  2  0 95  2  0
 1  1  86120 63663912   4000 903968    0    0  2148     0 1636  650  2  0 96  2  0
 1  1  86120 63663416   4000 903968    0    0  2188    24 1714  654  2  0 96  2  0
 1  1  86120 63662920   4000 903968    0    0  2340     0 1748  776  2  0 96  2  0
 1  1  86120 63662424   4000 903968    0    0  2024     0 1608  624  2  0 96  2  0
 1  1  86120 63662424   4000 903968    0    0  2396     0 1650  718  2  0 96  2  0
 1  1  86120 63661432   4000 903968    0    0  2056     0 1608  606  2  0 96  2  0
 1  1  86120 63660936   4000 903968    0    0  2168     0 1666  702  2  0 96  2  0
 1  1  86120 63660936   4000 903968    0    0  2256     4 1683  694  2  0 96  2  0
 1  1  86120 63660440   4000 903968    0    0  2244     0 1618  664  2  0 96  2  0
 1  1  86120 63659448   4000 903968    0    0  2052     0 1602  570  2  0 96  2  0
 1  1  86120 63658952   4000 903968    0    0  2388     0 1744  822  2  0 96  2  0
 1  1  86120 63658456   4000 903968    0    0  2172     0 1629  630  2  0 96  2  0
 1  1  86120 63658456   4000 903968    0    0  2320     0 1642  706  2  0 96  2  0
 1  1  86120 63657960   4000 903968    0    0  2188     8 1634  630  2  0 96  2  0
 1  1  86120 63657464   4000 903968    0    0  2292   224 1772  834  2  0 96  2  0
 1  1  86120 63656968   4000 903968    0    0  2456     0 1708  722  2  0 96  2  0
 1  1  86120 63656472   4000 903968    0    0  2584     0 1692  754  2  0 96  2  0
 1  1  86120 63655976   4000 903968    0    0  2120     0 1621  600  2  0 96  2  0
 1  1  86120 63655480   4000 903968    0    0  2236     0 1686  720  2  0 96  2  0
 1  1  86120 63654984   4000 903968    0    0  2504    12 1749  732  2  0 96  2  0
 1  1  86120 63654488   4000 903968    0    0  2268     0 1612  656  2  0 96  2  0
 1  1  86120 63653992   4000 903968    0    0  2376     0 1694  666  2  0 96  2  0
